Seasons,Category,LeagueName,LeagueID,MatchID,Check
2025,T10 League,ECI T10 Malta,10904,43440,0
2025,T10 League,ECI T10 Malta,10904,43439,0
2025,T10 League,ECI T10 Malta,10904,43438,0
2025,T10 League,ECI T10 Malta,10904,43437,0
2025,T10 League,ECI T10 Malta,10904,43436,0
2025,T10 League,ECSN Portugal T10,10899,43397,0
2025,T10 League,ECSN Portugal T10,10899,43396,0
2025,T10 League,ECSN Portugal T10,10899,43395,0
2025,T10 League,ECSN Portugal T10,10899,43394,0
2025,T10 League,ECSN Portugal T10,10899,43393,0
2025,T10 League,ECSN Portugal T10,10899,43392,0
2025,T10 League,ECSN Portugal T10,10899,43391,0
2025,T10 League,ECSN Portugal T10,10899,43390,0
2025,T10 League,ECSN Portugal T10,10899,43389,0
2025,T10 League,ECSN Portugal T10,10899,43388,0
2025,T10 League,ECSN Portugal T10,10899,43387,0
2025,T10 League,ECSN Portugal T10,10899,43386,0
2025,T10 League,ECSN Portugal T10,10899,43385,0
2025,T10 League,ECSN Portugal T10,10899,43384,0
2025,T10 League,ECSN Portugal T10,10899,43383,0
2025,T10 League,ECSN Portugal T10,10899,43382,0
2025,T10 League,ECSN Portugal T10,10899,43381,0
2025,T10 League,ECSN Portugal T10,10899,43380,0
2025,T10 League,ECSN Portugal T10,10899,43379,0
2025,T10 League,ECSN Portugal T10,10899,43378,0
2025,T10 League,ECSN Portugal T10,10899,43377,0
2025,T10 League,ECSN Portugal T10,10899,43376,0
2025,T10 League,ECSN Portugal T10,10899,43375,0
2025,T10 League,ECSN Portugal T10,10899,43374,0
2025,T10 League,ECSN Portugal T10,10899,43373,0
2025,T10 League,ECSN Portugal T10,10899,43372,0
2025,T10 League,ECSN Portugal T10,10899,43367,0
2025,T10 League,ECSN Portugal T10,10899,43366,0
2025,T10 League,ECSN Portugal T10,10899,43365,0
2025,T10 League,ECSN Portugal T10,10899,43364,0
2025,T10 League,ECSN Portugal T10,10899,43363,0
2025,T10 League,ECSN Portugal T10,10899,43362,0
2025,T10 League,ECI Portugal-Spain,10896,43340,0
2025,T10 League,ECI Portugal-Spain,10896,43339,0
2025,T10 League,ECI Portugal-Spain,10896,43338,0
